time_s,gnss_2d,gnss_3d,pinn_2d,pinn_3d,vel_err,pred_sigma_3d
0.000000000000000000e+00,5.135943147244026008e+00,2.737527892548479969e+01,1.465430902929721002e+00,1.477019761731544589e+00,1.392602201418505548e+00,3.492868423461914062e+01
9.999990463256835938e-02,5.007025694399927396e+00,2.739383274982771255e+01,1.693931662621395384e+00,1.699353583944042567e+00,1.399132698380470607e+00,3.532109069824218750e+01
1.999998092651367188e-01,4.840880416346645454e+00,2.719703843151340905e+01,3.775696954835528363e+00,3.776221577698589904e+00,1.398550435788488588e+00,3.638546371459960938e+01
2.999999523162841797e-01,4.791787116757070919e+00,2.714107290391182659e+01,7.206314447562587322e-01,7.550790652071719400e-01,1.395637482630479376e+00,3.579767227172851562e+01
3.999998569488525391e-01,4.780124201043752130e+00,2.713123774825168510e+01,2.772243945529097253e+00,2.772591490751339371e+00,1.401210664349581858e+00,3.603942871093750000e+01
5.000000000000000000e-01,4.778576560039869747e+00,2.718541036379434672e+01,3.358781123239397370e+00,3.363994018561584642e+00,1.402634957051176023e+00,3.631737518310546875e+01
5.999999046325683594e-01,4.801858898440268142e+00,2.720771412303299996e+01,1.226771007971044103e+00,1.226798831163965042e+00,1.384732836652559751e+00,3.561775207519531250e+01
6.999998092651367188e-01,4.795974538688814626e+00,2.717683446210961051e+01,1.792893556789770360e+00,1.802663643622015144e+00,1.410284687324494968e+00,3.600060653686523438e+01
7.999999523162841797e-01,4.798949116227515077e+00,2.726090532225560636e+01,1.817771633277365906e+00,1.832513225970330950e+00,1.385142976230920420e+00,3.576814651489257812e+01
8.999998569488525391e-01,4.807281241738840194e+00,2.721768886565351409e+01,2.628853595469549553e+00,2.632736893892829499e+00,1.400174311886949408e+00,3.629034423828125000e+01
1.000000000000000000e+00,4.944026057098111160e+00,2.736682138406324327e+01,1.278786333677574882e+00,1.281415312178123989e+00,1.393983366799505408e+00,3.543719863891601562e+01
1.099999904632568359e+00,4.967213299567944773e+00,2.744981319550587173e+01,4.480809753444708221e+00,4.483547600177492320e+00,1.398083353362411518e+00,3.648067474365234375e+01
1.199999809265136719e+00,5.018322447043621182e+00,2.757472735371795025e+01,1.319279609955098076e+00,1.319279620059160330e+00,1.395591306574618162e+00,3.567921066284179688e+01
1.299999952316284180e+00,5.072636753999343995e+00,2.774957314467096126e+01,2.982998411482744139e+00,3.009955459419818791e+00,1.402359461820160469e+00,3.597291564941406250e+01
1.399999856948852539e+00,4.998883257756283172e+00,2.770940867321448309e+01,2.209303058226503857e+00,2.213047591341327003e+00,1.404871781864558411e+00,3.600468826293945312e+01
1.500000000000000000e+00,5.129715907034858802e+00,2.779736705631089677e+01,3.476745717932047786e+00,3.511807658261364651e+00,1.392857101112009000e+00,3.610449981689453125e+01
1.599999904632568359e+00,5.004837749450331330e+00,2.777341896863131865e+01,3.407331531597516783e+00,3.453015295229671544e+00,1.390957191917830071e+00,3.616167831420898438e+01
1.699999809265136719e+00,5.010510101736497468e+00,2.783822743627814944e+01,3.059019024527974473e+00,3.074291701352522388e+00,1.397744848544263618e+00,3.568762207031250000e+01
1.799999952316284180e+00,5.022663200958839447e+00,2.784947062365858628e+01,2.572100271788554160e+00,2.596818283228202962e+00,1.392556240972822490e+00,3.605740356445312500e+01
1.899999856948852539e+00,4.939391143348604629e+00,2.773285423599214994e+01,3.286864046882147505e+00,3.300321272108396098e+00,1.405014346099773048e+00,3.616507339477539062e+01
2.000000000000000000e+00,4.796364703548552377e+00,2.762003905260723968e+01,2.824721672774149095e+00,2.863833745132593922e+00,1.396082838425724226e+00,3.613945388793945312e+01
2.099999904632568359e+00,4.818346579572191146e+00,2.775851637470183064e+01,8.255752827341201749e-01,8.539652042733046899e-01,1.391221198594215114e+00,3.554589462280273438e+01
2.199999809265136719e+00,4.734578975415540292e+00,2.762079123058199315e+01,3.246048683882569286e+00,3.268565995306046190e+00,1.410066087327287887e+00,3.613867568969726562e+01
2.299999952316284180e+00,4.880363194680691130e+00,2.777766860281618122e+01,2.900371642064510702e+00,2.945581588623176650e+00,1.394812826072197254e+00,3.588114166259765625e+01
2.399999856948852539e+00,4.882491517589419239e+00,2.794615972517079783e+01,1.496923034035522626e+00,1.570457730516805706e+00,1.391645934389156736e+00,3.580056381225585938e+01
2.500000000000000000e+00,4.775265544464974532e+00,2.794990846972964604e+01,2.995784115135068149e+00,3.052440856977117978e+00,1.401127715648188499e+00,3.599670410156250000e+01
2.599999904632568359e+00,4.771040252858662178e+00,2.808272047726523013e+01,3.551006699421397794e+00,3.740583941250164468e+00,1.411563691319975833e+00,3.608595275878906250e+01
2.699999809265136719e+00,4.720096787348516010e+00,2.798188608758713514e+01,2.661640976593691921e+00,2.784241583069841486e+00,1.399249854371802160e+00,3.597291946411132812e+01
2.799999952316284180e+00,4.679965809770460616e+00,2.792438107540158754e+01,2.815873781687284527e+00,2.844863721607008511e+00,1.396689104020240935e+00,3.609453582763671875e+01
2.899999856948852539e+00,4.720533986235140311e+00,2.791590199424458163e+01,3.171579817520696398e+00,3.291047249624218463e+00,1.387031051899489498e+00,3.627853393554687500e+01
3.000000000000000000e+00,4.761310879806901042e+00,2.810889978311587001e+01,2.970992488881393001e+00,3.043948113792215970e+00,1.403929822350793888e+00,3.617073822021484375e+01
3.099999904632568359e+00,4.727976629025986810e+00,2.815947635597891718e+01,1.864918621406388421e+00,1.944224268933745225e+00,1.401483195157535944e+00,3.593993377685546875e+01
3.199999809265136719e+00,4.779559256190872851e+00,2.816446792994859294e+01,2.551011680821414274e+00,2.773408841620997656e+00,1.418790900707662006e+00,3.600928497314453125e+01
3.299999952316284180e+00,4.766830665470229711e+00,2.799872672609888014e+01,4.562094228559873343e+00,4.637401113603467628e+00,1.400690623665979295e+00,3.642468643188476562e+01
3.399999856948852539e+00,4.718914191276449621e+00,2.781544375169315231e+01,4.715175838478472770e+00,4.793930017104073293e+00,1.426628149274960178e+00,3.633249664306640625e+01
3.500000000000000000e+00,4.664151005081731860e+00,2.778656640189114668e+01,3.820561449057146675e+00,3.925918805158386427e+00,1.452774696425936041e+00,3.630917358398437500e+01
3.599999904632568359e+00,4.559699782427163228e+00,2.743787485182819097e+01,4.642396818205622999e+00,4.684710258312176023e+00,1.542923956886575798e+00,3.641478729248046875e+01
3.699999809265136719e+00,4.636846911917558600e+00,2.748944005149713021e+01,3.920800592512150740e+00,3.934500702635736147e+00,1.529403107568241937e+00,3.642588806152343750e+01
3.799999952316284180e+00,4.681958014360270148e+00,2.756292540876448172e+01,2.752029941176378003e+00,2.861891064049824074e+00,1.594315787394399608e+00,3.596574401855468750e+01
3.899999856948852539e+00,4.727630769254483667e+00,2.769748147581290709e+01,5.134590161188637758e+00,5.174775055460197670e+00,1.605773336333570223e+00,3.653385162353515625e+01
4.000000000000000000e+00,4.620695877002913399e+00,2.759931726597918455e+01,2.425634021308861854e+00,2.454550305948806521e+00,1.622035973595878477e+00,3.620945739746093750e+01
4.099999904632568359e+00,4.485377039195602933e+00,2.751891702571033704e+01,3.253829385076017822e+00,3.347418820866939537e+00,1.681004102088151875e+00,3.623752593994140625e+01
4.199999809265136719e+00,4.483020101372707344e+00,2.761637273907589929e+01,7.875433254774681924e-01,8.488187834038866120e-01,1.694871975132339559e+00,3.496981811523437500e+01
4.299999952316284180e+00,4.508540133139680606e+00,2.776053454739159321e+01,3.599942422639482165e-01,1.133841383279620141e+00,1.716825387399167013e+00,3.519540405273437500e+01
4.399999856948852539e+00,4.455817416649624718e+00,2.772075064911561526e+01,1.590663015894072219e+00,1.623243150220748054e+00,1.792251947522776279e+00,3.500343322753906250e+01
4.500000000000000000e+00,4.429929549638622177e+00,2.775735251153743732e+01,7.235245719655518659e-01,7.318947880311946763e-01,1.851357615453309347e+00,3.519403076171875000e+01
4.599999904632568359e+00,4.579593703821718265e+00,2.801512449037917918e+01,1.003724863979333914e+00,1.595442007929884332e+00,1.954116023891024012e+00,3.526287078857421875e+01
