time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,pinn_E,pinn_N,pinn_U
0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.408385146204512495e+00,-3.841981611988182443e+00,2.688917968693670346e+01,1.405622828547041792e+00,-4.143817050667957247e-01,1.846608919232757273e-01
9.999990463256835938e-02,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,3.277926864467639589e+00,-3.784904460345117627e+00,2.693335538199378831e+01,-4.137235657117876997e-02,-1.693426350985376416e+00,-1.346396894173444991e-01
1.999998092651367188e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,3.002738305680264119e+00,-3.797062795278995928e+00,2.676374978847840680e+01,-3.571771892385591229e-01,-3.758764683870047030e+00,-6.194369964262591566e-02
2.999999523162841797e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.905491934739346860e+00,-3.810425224012358392e+00,2.671572654930213275e+01,2.790642842876867036e-01,-6.644040963115527276e-01,-2.244655540837925400e-01
3.999998569488525391e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.899582261076378842e+00,-3.800264475912578099e+00,2.670982448824878475e+01,-5.692061243148565097e-01,-2.713179109663493627e+00,4.689852961536189468e-02
5.000000000000000000e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.916004479233675895e+00,-3.785724741125746640e+00,2.676313262631710899e+01,-4.031175344759851953e-02,-3.358539205694838437e+00,-1.862034256238089824e-01
5.999999046325683594e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.916593367064463038e+00,-3.814620821254378846e+00,2.678362469008472857e+01,1.226711088622080226e+00,-1.212486483348040878e-02,-5.262333841052679873e-03
6.999998092651367188e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.860815588294274292e+00,-3.849299409466373945e+00,2.675330765199382910e+01,4.337221747518249515e-02,-1.792368867474186445e+00,-1.844270710972963911e-01
7.999999523162841797e-01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895962129661240780e+00,-3.826658589906967833e+00,2.683518299488272874e+01,6.515003548351909757e-01,-1.697009427614487365e+00,-2.319720086649397217e-01
8.999998569488525391e-01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.811343191447914336e+00,-3.899525919528369577e+00,2.678978600605733007e+01,7.613801795548269524e-02,-2.627750793071155222e+00,-1.429416884540835042e-01
1.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.053354444577630389e+00,-3.888498462008584511e+00,2.691652873261996604e+01,-1.511705493188539862e-01,-1.269819653796304237e+00,8.204093679019308638e-02
1.099999904632568359e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.157229417938779648e+00,-3.834724288121197588e+00,2.699664861616648182e+01,-3.325426634363424228e-01,-4.468452911511395342e+00,1.566621726468895304e-01
1.199999809265136719e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,3.277141152603778806e+00,-3.800513919209543623e+00,2.711324032507489790e+01,8.735621559454536111e-01,-9.886292775622047557e-01,-1.163280386222709240e-03
1.299999952316284180e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.378020747277464153e+00,-3.784259434683092671e+00,2.728199344024220707e+01,7.881957027571218077e-04,-2.982998307688006001e+00,4.019357477144360757e-01
1.399999856948852539e+00,2.261103405204467620e-10,-3.139018537288984501e-11,-3.000000655972971317e-03,3.224492581839543348e+00,-3.819879764604615424e+00,2.725177013586394636e+01,2.716243586492357309e-01,-2.192541951227235053e+00,1.256842584454282985e-01
1.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.365417026365097541e+00,-3.862451444251894905e+00,2.731594930821919931e+01,5.504057634714207836e-01,-3.431234727485537483e+00,4.910073154594947198e-01
1.599999904632568359e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.231042972574588390e+00,-3.813411529904113806e+00,2.731475547173082319e+01,1.149205080042239757e+00,-3.203975673561798132e+00,5.558271727806278761e-01
1.699999809265136719e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,3.257098398933608863e+00,-3.807429776022453360e+00,2.738160267279834414e+01,-1.733873264692231686e-01,-3.054101214239616446e+00,3.040589372941937540e-01
1.799999952316284180e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.247595847526904222e+00,-3.822730855760704038e+00,2.738880687708398298e+01,6.034742006458007069e-01,-2.497795657930503843e+00,3.534428452922959707e-01
1.899999856948852539e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.091675632542832730e+00,-3.843870762530996466e+00,2.728544153717160015e+01,-2.282286948497453949e-01,-3.279631320182516241e+00,2.937334969341733881e-01
2.000000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.876328715276235570e+00,-3.830469776064173715e+00,2.719639417143515914e+01,1.679742421622218984e-01,-2.819090534120814340e+00,4.676897189205106997e-01
2.099999904632568359e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.956676569748447392e+00,-3.804540369450110759e+00,2.733713166306433706e+01,5.028084190373878215e-01,-6.547963356366341969e-01,2.183621365827086436e-01
2.199999809265136719e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,2.811073340042032243e+00,-3.802117832505787831e+00,2.720898027134742136e+01,-3.302142251892909997e-01,-3.230245478952015858e+00,3.800034017642914819e-01
2.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,3.021277951038173981e+00,-3.824590200378814586e+00,2.734058334273449020e+01,-6.865806695193832354e-02,-2.899784439995208629e+00,5.090965215598686200e-01
2.399999856948852539e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.071511660850731573e+00,-3.786973809455948192e+00,2.751234278330299787e+01,2.499269593126456357e-01,-1.474130725120621044e+00,4.709304297873728729e-01
2.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.982285598320586928e+00,-3.721236687547786914e+00,2.753495827080523028e+01,-2.787858452371523299e-01,-2.983728688604458057e+00,5.813825404814387809e-01
2.599999904632568359e+00,-1.029827960514070190e-02,1.925552766280508310e-10,1.000000184117180507e-03,2.995184060354183941e+00,-3.705388067220635406e+00,2.767547135156274152e+01,-1.980134284306060977e-01,-3.546041680430359833e+00,1.176720903335812807e+00
2.699999809265136719e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.899019865372181926e+00,-3.716877904382688946e+00,2.757191071035256158e+01,4.411109965825090740e-01,-2.623082604852659649e+00,8.081098509012676345e-01
2.799999952316284180e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.804707276246942271e+00,-3.738692746324109528e+00,2.752142023929682679e+01,-2.773643789490343181e-02,-2.815819785756635163e+00,3.970980633172125351e-01
2.899999856948852539e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.747444874507452894e+00,-3.831226117925979224e+00,2.750589000632266234e+01,6.144630973162907850e-01,-3.109435923414565650e+00,8.706771080682678132e-01
3.000000000000000000e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.881102815604627665e+00,-3.782840300320089888e+00,2.769571044369557811e+01,1.520481261972790321e-01,-2.966553557632864546e+00,6.554377309880585756e-01
3.099999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.883766209361278143e+00,-3.738736882879564405e+00,2.775172524892239778e+01,-2.999710686233409973e-01,-1.842284217550584913e+00,5.416240020885965123e-01
3.199999809265136719e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.974460009247017922e+00,-3.733015453153790908e+00,2.774595552892319716e+01,1.105325106292916360e+00,-2.294132744604291396e+00,1.078180136390848531e+00
3.299999952316284180e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,2.859694836244738525e+00,-3.806023364543098531e+00,2.757696237628341152e+01,-3.329974435709353031e-01,-4.550666873931068501e+00,8.193372732865853436e-01
3.399999856948852539e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,2.708676155160521404e+00,-3.856854797269757995e+00,2.739823741571265359e+01,-6.186289017334090090e-02,-4.714893878366407165e+00,8.513795818503488988e-01
3.500000000000000000e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,2.586690491308027973e+00,-3.874268149297499519e+00,2.738031585698942294e+01,-2.323216737615521055e-01,-3.814104796659016472e+00,8.914094734750186433e-01
3.599999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.300259494084487599e+00,-3.930926694694925949e+00,2.704835072360242876e+01,2.532276146594387711e-01,-4.634911253277231857e+00,6.202212890168574688e-01
3.699999809265136719e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.365570988330539137e+00,-3.981908374133952044e+00,2.708655250007770121e+01,-3.867578843501249253e-01,-3.902685672644026660e+00,3.190525763716465235e-01
3.799999952316284180e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.473876735678155470e+00,-3.968577216635522653e+00,2.715436599519174621e+01,-2.755646495910095695e-01,-2.739215682516870309e+00,7.773353841535382003e-01
3.899999856948852539e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.565293938689492848e+00,-3.964444120417510931e+00,2.728402393802587511e+01,-1.660095147559417228e-01,-5.132228572855865423e+00,6.366464470285606581e-01
