time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
0.000000000000000000e+00,5.135943147244026008e+00,2.737527892548479969e+01,5.770290120942978440e+00,6.319630815678165980e+00
9.999990463256835938e-02,5.007025694399927396e+00,2.739383274982771255e+01,8.775612710752051626e+00,8.796857629729615269e+00
1.999998092651367188e-01,4.840880416346645454e+00,2.719703843151340905e+01,8.511629798804504432e+00,8.514403176912665572e+00
2.999999523162841797e-01,4.791787116757070919e+00,2.714107290391182659e+01,6.934285868112449513e+00,7.865500367277553195e+00
3.999998569488525391e-01,4.780124201043752130e+00,2.713123774825168510e+01,8.555874203916058462e+00,8.596314799104161963e+00
5.000000000000000000e-01,4.778576560039869747e+00,2.718541036379434672e+01,7.789303903741346957e+00,7.799007235593681919e+00
5.999999046325683594e-01,4.801858898440268142e+00,2.720771412303299996e+01,6.658897225867733916e+00,7.388631295837429391e+00
6.999998092651367188e-01,4.795974538688814626e+00,2.717683446210961051e+01,7.203606681631743669e+00,7.629362256460731295e+00
7.999999523162841797e-01,4.798949116227515077e+00,2.726090532225560636e+01,8.209900020184019098e+00,8.209903229285728798e+00
8.999998569488525391e-01,4.807281241738840194e+00,2.721768886565351409e+01,8.384480951563681117e+00,8.531093724666096278e+00
1.000000000000000000e+00,4.944026057098111160e+00,2.736682138406324327e+01,8.420460331412598975e+00,8.550088891924909618e+00
1.099999904632568359e+00,4.967213299567944773e+00,2.744981319550587173e+01,8.327685003000722119e+00,8.330370875880094061e+00
1.199999809265136719e+00,5.018322447043621182e+00,2.757472735371795025e+01,8.684380777038043675e+00,8.761536782720662941e+00
1.299999952316284180e+00,5.072636753999343995e+00,2.774957314467096126e+01,8.604297536788957146e+00,8.613486235075859199e+00
1.399999856948852539e+00,4.998883257756283172e+00,2.770940867321448309e+01,8.251219409706967767e+00,8.275436500234134130e+00
1.500000000000000000e+00,5.129715907034858802e+00,2.779736705631089677e+01,8.659012466641069494e+00,8.687545098640724106e+00
1.599999904632568359e+00,5.004837749450331330e+00,2.777341896863131865e+01,7.687524972489664599e+00,7.794255987884083581e+00
1.699999809265136719e+00,5.010510101736497468e+00,2.783822743627814944e+01,8.685953549872078128e+00,8.690754586088630163e+00
