time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,nonpinn_E,nonpinn_N,nonpinn_U
0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.408385146204512495e+00,-3.841981611988182443e+00,2.688917968693670346e+01,2.048910606447737592e+00,-5.394275985500450510e+00,-2.577107985582980376e+00
9.999990463256835938e-02,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,3.277926864467639589e+00,-3.784904460345117627e+00,2.693335538199378831e+01,4.180696608863849306e+00,-7.715773085985986768e+00,6.120038538260637040e-01
1.999998092651367188e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,3.002738305680264119e+00,-3.797062795278995928e+00,2.676374978847840680e+01,3.815503903977383260e+00,-7.608532827017277178e+00,-2.163007753338490602e-01
2.999999523162841797e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.905491934739346860e+00,-3.810425224012358392e+00,2.671572654930213275e+01,3.754990445100064633e+00,-5.829611243909819329e+00,-3.711381380881277892e+00
3.999998569488525391e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.899582261076378842e+00,-3.800264475912578099e+00,2.670982448824878475e+01,3.689088994493889828e+00,-7.719689486593730443e+00,-8.298533701038763866e-01
5.000000000000000000e-01,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.916004479233675895e+00,-3.785724741125746640e+00,2.676313262631710899e+01,3.424582600895815787e+00,-6.996105295324965390e+00,-3.879197294491874004e-01
5.999999046325683594e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.916593367064463038e+00,-3.814620821254378846e+00,2.678362469008472857e+01,3.375337714159952540e+00,-5.740035502689010194e+00,-3.198712069482532172e+00
6.999998092651367188e-01,6.929380810469232266e-11,2.860491524637326366e-10,2.999997591847596012e-03,2.860815588294274292e+00,-3.849299409466373945e+00,2.675330765199382910e+01,3.451532605944878540e+00,-6.322884776669132734e+00,-2.510009992602270756e+00
7.999999523162841797e-01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895962129661240780e+00,-3.826658589906967833e+00,2.683518299488272874e+01,3.555508445331254208e+00,-7.400055272646225646e+00,7.258981744911352507e-03
8.999998569488525391e-01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.811343191447914336e+00,-3.899525919528369577e+00,2.678978600605733007e+01,3.524473725143135283e+00,-7.607733288379077585e+00,-1.574814056312970223e+00
1.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.053354444577630389e+00,-3.888498462008584511e+00,2.691652873261996604e+01,4.042903544976647723e+00,-7.386412061022866737e+00,-1.483195154823576445e+00
1.099999904632568359e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.157229417938779648e+00,-3.834724288121197588e+00,2.699664861616648182e+01,3.739919776100705917e+00,-7.440654378071759112e+00,-2.115216785951758993e-01
1.199999809265136719e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,3.277141152603778806e+00,-3.800513919209543623e+00,2.711324032507489790e+01,4.322418390495929685e+00,-7.532275136326853193e+00,-1.161197102445854057e+00
1.299999952316284180e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.378020747277464153e+00,-3.784259434683092671e+00,2.728199344024220707e+01,4.029374166104521038e+00,-7.602504845602282124e+00,-3.977549757047533774e-01
1.399999856948852539e+00,2.261103405204467620e-10,-3.139018537288984501e-11,-3.000000655972971317e-03,3.224492581839543348e+00,-3.819879764604615424e+00,2.725177013586394636e+01,3.952882262225132948e+00,-7.242744201707886909e+00,-6.356353788531556859e-01
1.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.365417026365097541e+00,-3.862451444251894905e+00,2.731594930821919931e+01,4.346425198400314827e+00,-7.483144889457583382e+00,-7.075218088004540107e-01
1.599999904632568359e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.231042972574588390e+00,-3.813411529904113806e+00,2.731475547173082319e+01,3.727595916757937999e+00,-6.717602785473571814e+00,-1.289451745962505669e+00
1.699999809265136719e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,3.257098398933608863e+00,-3.807429776022453360e+00,2.738160267279834414e+01,4.138442419300277564e+00,-7.636693224737663321e+00,-2.908359487226519491e-01
1.799999952316284180e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.247595847526904222e+00,-3.822730855760704038e+00,2.738880687708398298e+01,4.232743144909258959e+00,-7.518471555528770445e+00,-9.491345906780104258e-01
1.899999856948852539e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.091675632542832730e+00,-3.843870762530996466e+00,2.728544153717160015e+01,3.904369586056931851e+00,-7.491376999561025762e+00,-3.422332808673402837e-01
2.000000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.876328715276235570e+00,-3.830469776064173715e+00,2.719639417143515914e+01,3.685321577977651586e+00,-7.229763914018885629e+00,-9.722019770557466245e-01
2.099999904632568359e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.956676569748447392e+00,-3.804540369450110759e+00,2.733713166306433706e+01,3.705230501461551640e+00,-7.342407915531653728e+00,-1.015932814379358007e+00
2.199999809265136719e+00,-1.029827947399654907e-02,-1.350751110355125073e-10,-3.000001627074074927e-03,2.811073340042032243e+00,-3.802117832505787831e+00,2.720898027134742136e+01,3.348436392410196305e+00,-7.354058750474537831e+00,2.184578867038666772e-01
2.299999952316284180e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,3.021277951038173981e+00,-3.824590200378814586e+00,2.734058334273449020e+01,3.934610294139675446e+00,-7.843253129913726696e+00,-1.983461196983711261e-01
2.399999856948852539e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,3.071511660850731573e+00,-3.786973809455948192e+00,2.751234278330299787e+01,4.218824898040978155e+00,-7.769332503532486278e+00,-5.390073334267384553e-01
2.500000000000000000e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.982285598320586928e+00,-3.721236687547786914e+00,2.753495827080523028e+01,3.689039329094512709e+00,-7.421733122713192188e+00,2.760268724135066520e-01
2.599999904632568359e+00,-1.029827960514070190e-02,1.925552766280508310e-10,1.000000184117180507e-03,2.995184060354183941e+00,-3.705388067220635406e+00,2.767547135156274152e+01,3.954146143217037945e+00,-7.737336156820244781e+00,3.673575381624729630e-01
2.699999809265136719e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.899019865372181926e+00,-3.716877904382688946e+00,2.757191071035256158e+01,3.130573226191998515e+00,-6.348283019510252423e+00,-2.125815360528328313e+00
2.799999952316284180e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.804707276246942271e+00,-3.738692746324109528e+00,2.752142023929682679e+01,3.590602981470025767e+00,-7.391666636628674958e+00,-1.696627151099114883e-01
